Same,Different
0.507913259,0.885146171
0.92858312,0.94454196
0.98877355,0.900391677
0.561234548,0.964193646
0.406652175,0.936623906
0.461915074,0.901010056
0.548786835,0.881380176
0.558553551,0.897595595
0.607390694,0.908878147
0.740964144,0.887553561
0.82317863,0.938126236
,0.986244487
,0.986501043
,0.986393026
,0.987507384
,0.983015592
,0.988113659
,0.986387081
,0.987141058
,0.987016647
,0.986272675
,0.986547302
,0.890887021
,0.947997574
,0.956144904
,0.98037076
,0.959864761
,0.652192639
,0.841538775
,0.85873262
,0.901401766
,0.838194824
,0.959835892
,0.864377921
,0.851504535
,0.436550949
,0.480305179
,0.395935917
,0.53511467
,0.251570126
,0.731741397
,0.883815099
,0.86807436
,0.727379588
,0.667605854
,0.682928334
,0.586290555
,0.645703487
,0.282444694
,0.906775696
,0.874498531
,0.666522237
,0.544185031
,0.575416192
,0.622244443
,0.493394385
,0.565568121
,0.896445159
,0.834475456
,0.928019582
,0.884304768
,0.964948195
,0.853765244
,0.854493801
,0.880825066
,0.861398231
,0.934165702
,0.707504689
,0.424980895
,0.877225525
,0.62236208
,0.389735369
,0.806596309
,0.612659526
,0.410872906
,0.814969207
